Card holder name,Security code/CVV,Expiration date,Credit Card number,Card provider
Emily Garcia,265,10/27,3784706060366505,Discover
Jane Smith,510,12/25,4098562767495421,MasterCard
Michael Williams,111,01/26,5375831619734217,American Express
Sarah Smith,695,10/29,4033582504106717,MasterCard
Emily Garcia,651,09/28,4109175805038371,MasterCard
Jennifer Jones,385,05/26,3720071756347971,MasterCard
John Smith,204,04/26,4665246054490591,Discover
Jane Jones,900,10/24,6831434528637559,American Express
John Smith,419,11/25,5621112184374511,Visa
Sarah Garcia,967,02/27,4795153312381716,Discover
Jennifer Brown,559,04/25,4467273487798986,American Express
Emily Brown,758,11/29,3752668289075283,Visa
Jennifer Williams,936,10/29,6286476106830247,Visa
Sarah Jones,882,05/25,6646821124207016,Discover
David Brown,312,10/27,5619801939614742,Discover
Michael Williams,268,07/25,6790199891133226,MasterCard
Scott Brown,606,08/26,3747827732263932,Visa
John Williams,779,07/26,4115148330925679,Visa
Jane Johnson,271,08/28,3732884588285110,American Express
Lisa Jones,267,11/25,6747373898695032,MasterCard
Jennifer Smith,803,12/24,3774756448981691,Discover
Scott Garcia,773,11/28,3730085350103794,MasterCard
John Williams,216,12/29,6844151229784598,Discover
Emily Brown,325,12/29,4279581356414404,Discover
David Smith,682,07/24,5340037937741395,MasterCard
Jennifer Brown,279,07/26,4194314908195772,Visa
John Jones,692,12/26,6686878232947983,MasterCard
Emily Garcia,418,06/29,4306744166284741,Visa
Jane Williams,597,09/27,6330866718693064,American Express
Michael Brown,591,02/26,6044238376113438,Discover
Michael Williams,389,12/25,6260344885128961,American Express
Jane Jones,824,12/25,4532367336076304,American Express
Lisa Garcia,241,10/27,3779116303997941,MasterCard
Michael Smith,439,11/25,4871011150968613,Discover
Sarah Jones,553,08/24,3730452383722133,MasterCard
Sarah Johnson,447,02/24,3711560708253999,American Express
David Jones,639,11/25,5264625006858397,Visa
Scott Jones,202,03/27,5407141586834178,Visa
Lisa Williams,906,09/27,4748906741465584,Discover
Sarah Smith,549,12/25,6768300693561063,Discover
Jennifer Williams,526,03/24,5392114866988474,Discover
Lisa Williams,817,05/27,3707809971217520,Discover
David Smith,966,02/24,5051527673953161,Discover
Jennifer Smith,756,05/25,6194112959138740,American Express
John Williams,292,12/27,5319883198052759,MasterCard
John Garcia,683,08/27,4146273394512743,American Express
David Williams,651,04/28,4873373527008087,MasterCard
David Brown,425,10/27,5389097728802410,Visa
David Johnson,772,01/25,5164636043602079,Discover
Jane Jones,768,09/29,5498198299698431,Discover
Jennifer Jones,614,10/25,5211004681216129,Discover
Lisa Brown,129,11/27,6185052468188383,American Express
Sarah Garcia,907,06/26,3713412891335571,Visa
David Brown,139,12/29,6062092320470387,American Express
David Brown,911,05/25,3715836638218641,Discover
Emily Garcia,917,03/26,4709381485645972,Visa
Sarah Williams,141,02/27,5333154839929215,American Express
Scott Jones,720,11/25,4274374204483309,Discover
David Jones,631,08/28,3721990710226014,MasterCard
Michael Smith,432,04/29,5055629876926055,MasterCard
Scott Johnson,752,08/26,3785469954645729,Visa
Scott Jones,600,01/24,5143957654947660,American Express
John Smith,967,10/26,3780403110347263,Discover
Lisa Smith,208,09/25,5200256015145811,American Express
Scott Smith,118,10/28,4435236847726210,Discover
Scott Brown,448,05/27,3738091942183197,Visa
Emily Williams,302,09/25,4959234874201427,MasterCard
Lisa Jones,455,02/29,4716731912146070,Visa
Lisa Brown,569,01/26,3785950251031515,Visa
David Smith,849,11/29,3741789529286615,American Express
Jane Brown,713,05/24,6063902051476990,MasterCard
Jennifer Smith,768,09/24,6381601462009631,Visa
Emily Johnson,618,06/29,4918694549673047,Visa
Scott Williams,896,05/26,5176806102457162,MasterCard
Sarah Smith,445,09/29,4533693417502218,MasterCard
Michael Johnson,874,09/26,6825723180885391,American Express
Michael Garcia,261,07/24,4921958751386928,Discover
John Smith,946,01/27,3756031794792858,MasterCard
Lisa Smith,479,12/28,6585596639452983,American Express
John Williams,225,11/28,4192355458882238,MasterCard
Sarah Williams,214,05/25,3795653006115397,MasterCard
David Brown,874,03/27,4082145763838477,American Express
Michael Brown,563,03/28,3766855149720349,American Express
John Garcia,460,09/26,6443311693633979,American Express
David Jones,958,06/29,6969034974347507,American Express
Michael Smith,293,04/24,6354519057149641,MasterCard
David Garcia,280,07/24,6098398751395821,MasterCard
Jennifer Williams,253,03/26,4898153198459806,American Express
Sarah Garcia,883,09/27,6419496532552033,American Express
Emily Williams,834,12/24,4384835981795096,Discover
John Williams,560,03/29,6850969826313995,American Express
Sarah Brown,529,12/28,4317591765482649,Discover
Jane Williams,131,06/27,5952591355196721,Visa
Emily Garcia,514,10/24,4131947333377329,MasterCard
Emily Smith,129,09/25,4249801657436188,American Express
Jane Smith,459,01/24,3735886529314476,Visa
David Smith,666,06/24,6827962054122584,Discover
Michael Brown,623,03/29,6259648348271959,Visa
Michael Smith,300,10/24,6295580253525390,Visa
Lisa Smith,136,06/28,4404628866007281,Discover
Sarah Johnson,328,04/29,4079019600452625,American Express
John Garcia,725,09/27,6908584963773067,Visa
Scott Jones,425,02/27,6883182654261234,American Express
Lisa Williams,883,01/25,3729028680652901,American Express
Emily Brown,830,08/27,4961555630959676,Discover
Sarah Brown,343,06/24,3755613777039190,MasterCard
David Brown,714,09/28,4067128678734063,Discover
Jennifer Jones,841,08/24,6340291720695593,MasterCard
Lisa Garcia,127,10/28,3767190508263890,American Express
Michael Garcia,527,09/26,5389560018411200,MasterCard
Emily Johnson,265,03/27,4456227300086063,American Express
Scott Jones,424,01/27,6500749278633684,MasterCard
Sarah Smith,377,09/28,4832649351139704,Discover
David Jones,308,10/28,6641319254245752,MasterCard
Sarah Williams,980,01/25,5765190442766468,Visa
Scott Jones,745,02/24,4289925879140970,Visa
Jennifer Garcia,550,08/24,4363037463961016,American Express
Jennifer Johnson,133,03/26,5380817123436236,Discover
Scott Jones,736,05/24,5242076287738402,Visa
Emily Smith,713,03/25,5052684065644434,American Express
John Jones,155,06/27,4835395540304109,Visa
John Brown,945,06/26,6553783433144960,MasterCard
Emily Brown,474,09/25,3766578076641649,MasterCard
Sarah Williams,331,09/27,5593036836098083,Visa
John Williams,918,08/28,3782325756025473,Discover
Sarah Williams,490,11/27,5994057346622993,American Express
Jennifer Smith,705,03/28,4316003324299184,Visa
Scott Jones,413,06/24,4942093618082810,Visa
Jane Williams,344,01/29,4876470036850285,American Express
Scott Brown,350,11/29,3753983618340566,MasterCard
John Jones,762,07/24,4643221203909996,MasterCard
Michael Jones,255,08/26,6943397046727944,Discover
Emily Brown,224,04/25,6782580904311299,Discover
David Smith,448,12/29,5848494249602699,Visa
Jane Smith,379,05/24,6456762697020122,Visa
Scott Garcia,833,01/28,5888424990617043,Visa
Jennifer Garcia,968,09/29,3718250977622495,Visa
Scott Jones,116,08/28,4239548694506844,Discover
Emily Jones,351,03/26,3713360316196237,American Express
Emily Johnson,723,07/28,4904083863634320,American Express
Jennifer Jones,935,04/24,6729099255154196,Visa
Sarah Johnson,521,08/28,3753654380159993,Discover
Sarah Johnson,796,11/24,5919793720731602,American Express
John Jones,483,10/24,3791883192131114,Visa
Emily Garcia,201,09/24,6236556615824103,MasterCard
Sarah Williams,242,11/26,5604511246619857,American Express
Emily Garcia,390,10/24,3721721376910363,Visa
Emily Garcia,753,03/29,5123171537110793,Visa
Emily Johnson,325,05/25,6906276233961778,American Express
Lisa Garcia,211,10/29,4992725573979204,Discover
Lisa Johnson,181,12/28,5930909793932845,MasterCard
Emily Jones,538,01/24,3748527138019305,Visa
Jennifer Smith,991,09/27,4798158355883681,Discover
David Jones,746,07/26,6243502036578556,American Express
Jane Smith,925,12/29,5494341014749410,Visa
John Johnson,404,05/26,6542660144144584,American Express
John Garcia,653,05/25,5002181680880684,MasterCard
David Brown,780,12/26,3774113985672061,Discover
Scott Garcia,141,02/26,3796404890400803,Discover
Sarah Garcia,572,10/28,3726776595024185,MasterCard
Jennifer Johnson,499,05/29,5371394800821495,Discover
Emily Williams,240,10/29,3788685233851070,Discover
David Garcia,637,09/27,6464178327459079,Visa
Emily Jones,778,02/29,5139972822086545,MasterCard
Michael Jones,355,07/26,6079628299208562,MasterCard
David Johnson,166,03/24,5198985827793582,American Express
David Johnson,814,06/26,4271074206732967,Discover
Michael Garcia,952,11/25,5185237802300669,Discover
Jennifer Smith,447,07/24,3778003507310595,Discover
John Smith,116,12/27,3760364555336357,MasterCard
Jane Brown,597,01/28,3701861700242051,MasterCard
Sarah Williams,608,12/28,4544858840487926,Visa
Scott Johnson,128,12/26,5339141792235924,Visa
Emily Williams,120,09/28,3789322634312960,Discover
Michael Williams,294,09/25,3790174275315217,American Express
Michael Brown,308,10/28,3794181216487472,American Express
Emily Smith,565,07/24,5507627016933852,Discover
David Williams,468,08/24,6587903348160840,Discover
Jennifer Johnson,162,08/24,6722911623874528,Visa
Emily Jones,618,12/25,5917045110154362,Discover
Emily Smith,666,10/26,3719768997199243,Discover
Scott Williams,524,04/25,3785664459006746,Discover
Jane Johnson,276,12/28,6288492031572661,MasterCard
Emily Jones,654,03/26,3737876818315662,Visa
Emily Johnson,172,07/25,6541623232458200,MasterCard
David Garcia,494,06/25,6168135626436876,Visa
David Jones,477,09/29,6080163460879345,American Express
Jane Smith,611,07/28,6121705458381493,MasterCard
Emily Smith,509,06/24,6530507830236840,MasterCard
Sarah Williams,210,11/24,6484607484584960,Visa
Scott Williams,308,01/28,6352035714055289,Discover
Scott Brown,683,06/24,5837596909025145,Discover
Jane Jones,614,02/28,5523499378056171,American Express
Scott Garcia,921,04/28,6709658407073457,Visa
Lisa Johnson,789,02/25,3701711917352054,Visa
Jane Johnson,372,03/27,3765000612049154,Discover
Sarah Williams,894,03/29,4015865915326327,American Express
Emily Smith,874,12/28,6967800061339728,American Express
Michael Smith,633,05/25,4931597496706160,MasterCard
John Williams,252,07/28,6929225714990171,Visa
John Smith,132,04/26,4507048098578882,American Express
Scott Garcia,978,12/28,3739671291493070,Visa
Emily Williams,827,04/24,6713902164213813,MasterCard
Jennifer Jones,566,08/25,6029427486061244,Discover
Jennifer Johnson,506,05/24,3735679857644279,Visa
Lisa Brown,666,09/26,4501470202567963,Visa
Sarah Garcia,999,12/28,6717582391934476,MasterCard
Scott Smith,197,10/25,4857723335863984,Visa
Sarah Johnson,416,07/27,3741482117948743,American Express
Sarah Williams,267,11/24,4960027421324834,Discover
Lisa Brown,572,11/27,3755378740763017,Visa
Lisa Williams,145,11/26,4715903690064319,Visa
Emily Williams,137,04/28,6968865899627742,Discover
Emily Williams,153,02/27,5792364425181089,Visa
Jennifer Williams,452,04/26,3760305788320262,Discover
John Smith,698,12/28,6481216088510364,American Express
Scott Garcia,813,07/29,4856972658434862,American Express
Jane Brown,385,05/25,3715562946549283,Discover
Jennifer Smith,609,04/28,4420480867443200,American Express
Emily Brown,569,04/28,5149895826432399,MasterCard
David Johnson,657,08/27,5919274019148493,Discover
Scott Brown,924,08/29,3794318472116953,Discover
Jane Brown,979,01/29,6813667795211358,MasterCard
Lisa Smith,345,10/29,4582998421664171,Discover
Jennifer Brown,434,03/25,6505666053620667,Discover
Jennifer Smith,559,04/28,6132608063208761,MasterCard
Emily Brown,399,10/25,5066373150267186,Visa
Emily Jones,839,03/26,3708686233745871,Discover
Michael Garcia,789,09/27,5008154926457363,Discover
Jane Brown,629,11/24,4263148279405022,MasterCard
Lisa Smith,708,12/28,3735568358572552,MasterCard
Michael Johnson,610,06/29,3771353776611067,American Express
John Garcia,267,12/26,5953144938835826,MasterCard
David Williams,882,03/29,3774201619043534,American Express
Emily Smith,119,12/28,3735484011968510,Visa
Jennifer Garcia,834,09/25,4490653632086323,American Express
Scott Williams,816,07/25,6350129696527589,Visa
Michael Williams,173,09/28,3798238457528889,American Express
Lisa Brown,344,07/24,5808728300790721,Discover
Scott Brown,138,10/26,5115020056649915,Discover
David Smith,572,10/24,3786939466917617,Discover
David Brown,193,11/26,4892333402073736,American Express
Lisa Brown,834,06/28,3758040383302571,Discover
Lisa Williams,427,09/26,4340040429316117,Discover
Sarah Smith,787,09/25,4130447868320852,American Express
Scott Brown,796,08/25,3733590381093366,Visa
David Brown,378,06/24,5406454219741970,Visa
Emily Garcia,412,01/29,3792568163174784,American Express
Emily Brown,200,11/27,6321388570739266,Discover
Emily Jones,220,03/25,4257353979398695,Visa
Scott Williams,829,12/29,5283492740472309,Visa
Jennifer Garcia,999,03/25,6431171535350560,Discover
Michael Smith,873,12/29,4965011614607267,American Express
Sarah Garcia,998,12/29,5194686737515297,Discover
Jane Williams,359,01/24,5376436005461067,American Express
Lisa Brown,148,01/24,4629584737087680,Discover
Scott Smith,735,03/29,5564620331682627,Discover
David Williams,936,06/28,6370217983898643,Discover
Lisa Williams,621,05/24,3764081032186033,Discover
Jennifer Jones,759,10/25,5186886655092465,Visa
Lisa Garcia,521,06/29,4136839110231354,Visa
Lisa Brown,672,09/25,6035637053069741,Discover
Scott Brown,919,02/26,6470718910159628,Visa
Jane Brown,947,01/29,5320321895523696,MasterCard
Jennifer Jones,668,04/25,4031017699630199,Visa
Michael Johnson,792,01/25,6524665789417452,MasterCard
Scott Smith,884,12/28,5711789269557614,Discover
David Brown,154,06/27,6527138132321364,Visa
Jane Johnson,775,05/25,5482817113101631,Discover
Jane Brown,140,09/24,6716061855554816,Visa
Jennifer Garcia,621,06/27,6583418083190989,American Express
Jennifer Smith,229,07/28,6614588866735532,American Express
Scott Garcia,488,03/26,6183705016376097,Discover
John Brown,359,05/26,4327312413190247,American Express
Sarah Johnson,115,02/25,6754510074760649,American Express
Jane Smith,162,11/27,3731262435823741,MasterCard
Scott Garcia,983,10/28,6842780475178113,Visa
Lisa Smith,296,07/24,5222260536810972,MasterCard
John Garcia,202,12/27,6926565644395055,MasterCard
Scott Williams,346,01/28,4312807932223897,Visa
Scott Garcia,823,12/28,3767876437789779,American Express
Lisa Garcia,187,07/27,5342561588081429,Visa
John Jones,814,06/29,4516482672062477,American Express
Emily Smith,906,03/27,3781115745473459,Visa
David Garcia,139,04/27,4139285185600486,MasterCard
David Brown,684,02/25,5805570368026553,American Express
Emily Williams,550,12/27,5115119084562494,Visa
David Johnson,109,01/25,4010802962772991,Visa
Scott Smith,842,03/26,5100221562479030,Discover
Sarah Smith,640,06/29,4090429603785662,Discover
Jennifer Brown,730,04/25,6339781205067386,American Express
Scott Jones,241,08/25,6843136485797047,Visa
Scott Williams,313,07/24,5398485269477206,Visa
John Smith,978,10/28,4664681811272521,American Express
Scott Brown,503,06/24,6415740117636610,MasterCard
Lisa Brown,908,11/28,5095671821815373,Visa
Jennifer Garcia,283,02/28,3728140500978928,Visa
Emily Smith,923,08/25,4049662374721589,Visa
Jane Garcia,130,11/27,5925757328154592,Discover
David Smith,438,03/29,4389135377448540,Discover
Sarah Jones,275,03/27,4585956511395210,MasterCard
Lisa Brown,809,12/27,4733046797504569,Visa
Jennifer Garcia,492,06/26,6892848546929340,Discover
Sarah Williams,712,12/29,5970218599729327,MasterCard
Sarah Smith,635,09/24,3724613251170600,American Express
Sarah Johnson,456,11/25,5275600577054087,American Express
David Johnson,461,10/29,4747531372873137,American Express
Scott Brown,459,08/29,5463220177157438,American Express
John Brown,593,02/24,4981026629062423,MasterCard
John Williams,457,11/28,4083095332326935,MasterCard
Emily Johnson,309,07/27,3737136823082595,MasterCard
John Smith,323,10/25,6119371522597319,MasterCard
Jane Smith,161,01/29,3793174397292416,Discover
John Brown,703,06/24,4358621150751207,Discover
Emily Jones,649,12/26,3797023834348214,MasterCard
Michael Johnson,328,12/29,3782877321390139,Visa
Emily Garcia,198,12/27,3720934874004164,Visa
Jane Williams,293,06/28,4868772750952647,Discover
Jennifer Brown,779,10/28,4820001705922100,MasterCard
Lisa Garcia,884,04/29,6326190657134329,Discover
Jennifer Johnson,155,07/29,3794427774869845,Discover
Scott Jones,491,10/24,6845385014564968,American Express
Lisa Brown,960,05/29,5345204002748763,Visa
David Garcia,282,03/26,3767057750908151,American Express
Emily Jones,758,07/24,5105907329318058,MasterCard
Scott Brown,267,07/27,4141201834671527,MasterCard
John Smith,848,09/28,3722505215748954,MasterCard
Lisa Garcia,113,01/28,5186921491712396,American Express
David Johnson,757,12/25,6687845495130275,Visa
Lisa Smith,715,07/29,5674864800696448,MasterCard
John Garcia,188,03/26,5546297180958169,American Express
John Jones,349,08/26,6695183792752512,Visa
Scott Williams,703,05/26,6244599218077703,Visa
Lisa Brown,163,02/24,4794900202228816,MasterCard
Jane Smith,621,08/29,3779753450291700,American Express
Sarah Jones,831,01/28,6492050995106447,Discover
Lisa Jones,128,06/29,6546130666713543,Discover
Jennifer Brown,257,04/26,3728642170244416,American Express
John Johnson,546,07/26,6605078915669149,Discover
Jane Williams,782,08/24,3793132244667727,Discover
David Johnson,844,03/29,5137731775506327,Visa
Emily Johnson,297,01/25,4534118740410334,MasterCard
Scott Garcia,862,05/27,4298549787807956,Visa
Sarah Brown,593,07/26,6259081269786997,Discover
Michael Williams,226,04/29,4552625466887088,Visa
David Jones,122,06/26,5411150663618861,American Express
Michael Jones,100,03/29,3750293734135285,Visa
Jennifer Williams,487,09/28,4025870694640540,American Express
Scott Jones,687,08/29,4394014249275873,Discover
Lisa Brown,623,01/26,3757636747087047,MasterCard
John Garcia,376,06/24,6244824329779363,MasterCard
Jane Williams,320,06/26,3760499614649141,American Express
Jane Jones,602,10/28,3734579640496469,MasterCard
Emily Brown,394,12/27,4473977321203886,Visa
Emily Brown,271,02/26,6283762381156272,Discover
Scott Johnson,383,01/29,4937120539873816,Visa
John Williams,418,10/27,5385654750492330,American Express
Michael Williams,748,07/29,5088911515766709,Discover
Jane Williams,382,12/24,3750467321645852,Visa
David Brown,214,09/24,6488601711238710,Discover
Michael Garcia,616,07/24,4018752742633041,MasterCard
Jennifer Johnson,884,11/29,4299254682086256,Discover
Jennifer Garcia,900,06/25,4832873141397121,Visa
Jennifer Williams,420,03/26,5062252525983954,MasterCard
Emily Jones,465,11/26,6610542365777333,American Express
Scott Johnson,754,01/29,3728214389685639,MasterCard
Jane Brown,538,07/27,4333257477568659,Discover
David Williams,874,03/29,6350843732899527,Discover
David Brown,700,08/28,4418848861367696,MasterCard
Jane Garcia,509,04/28,5371837226055767,Discover
Sarah Brown,834,12/26,3762940533542030,Discover
Emily Johnson,360,04/24,3729074067020692,MasterCard
Emily Jones,275,04/25,4111826208134805,Visa
John Smith,226,11/27,6472227117481734,MasterCard
Emily Brown,125,03/26,4560316653426902,Visa
Sarah Johnson,950,06/29,4847967378356074,American Express
Emily Smith,636,02/29,5962106498529429,American Express
David Garcia,260,07/25,4048557724663682,Discover
Jennifer Jones,200,02/26,3778357815403769,MasterCard
Emily Jones,201,08/28,4450409758456222,Discover
Lisa Jones,320,11/25,3793992677241385,Visa
Scott Williams,637,11/27,5138328970543509,MasterCard
David Garcia,360,05/25,5424359562960424,American Express
John Johnson,173,12/29,3798390985944680,Discover
Emily Brown,294,02/28,6949800995999053,MasterCard
John Smith,773,05/26,5322507637228390,Visa
David Brown,679,06/25,3700497713196611,Discover
John Brown,512,02/26,4413329411979947,Discover
Lisa Garcia,934,12/26,3761283449116511,American Express
David Brown,731,12/26,5795274267539053,Visa
John Smith,784,03/25,6270952557127281,MasterCard
Sarah Brown,348,01/27,5695692871134089,Visa
John Garcia,651,11/28,5771760842832094,MasterCard
Scott Johnson,726,06/24,3739927188637579,Discover
Scott Brown,297,12/28,6509034159891722,Discover
Emily Brown,833,04/27,6801392871525456,American Express
Lisa Smith,230,02/29,3762695532760674,American Express
Sarah Jones,657,04/28,5068375119928475,American Express
David Brown,359,12/24,4849071870979067,Discover
Jane Garcia,578,11/24,3780759129692092,American Express
David Williams,733,11/29,6479132869789008,American Express
Sarah Williams,855,02/29,4762456440712903,MasterCard
Emily Johnson,500,04/26,5362956529169546,Visa
Sarah Jones,711,02/25,3792704076036675,American Express
David Smith,806,07/24,3799667330253050,Visa
John Brown,209,10/25,5697405207447218,Discover
Scott Brown,972,01/27,5704832975812110,Discover
John Johnson,657,12/24,6522774636071710,MasterCard
Sarah Jones,154,04/28,4473170502122832,Visa
Scott Williams,376,12/29,4165492625017373,Discover
Lisa Brown,106,06/25,4636695055662333,MasterCard
Lisa Johnson,774,02/25,4804998670105597,American Express
Sarah Brown,635,06/25,6590294248009609,Visa
Lisa Williams,644,02/29,6899012915031013,American Express
Emily Garcia,533,08/24,6378204693132960,Discover
Michael Garcia,495,09/27,4464577399854239,American Express
Scott Brown,892,09/29,4182776892938215,Discover
Michael Jones,615,06/27,3744604439259882,American Express
Emily Jones,814,11/24,3765934864702120,American Express
Emily Garcia,211,04/29,5330343721988701,Discover
Jennifer Johnson,193,01/26,6549275759627816,American Express
Jennifer Brown,889,07/24,4577266027878091,Visa
John Garcia,453,12/26,3785119425671859,Visa
Scott Smith,674,06/25,5881145648708358,MasterCard
Emily Brown,798,09/25,4925453048425818,American Express
Scott Brown,597,02/26,5160229672901311,MasterCard
Scott Brown,532,05/25,5561461270347119,Discover
Lisa Smith,448,09/26,3788796495849353,MasterCard
John Garcia,248,06/26,6402004815090348,Discover
Jane Williams,600,01/24,5121807474591535,Visa
Scott Jones,377,04/24,6891625204536695,MasterCard
Jennifer Johnson,600,11/24,5391563392016609,Discover
John Garcia,225,05/26,3739443213263183,Visa
Emily Johnson,166,09/28,4524966764975356,Visa
John Johnson,296,10/26,4855099017987546,Discover
Jennifer Johnson,747,01/28,6931103618533346,American Express
David Jones,641,10/27,4938179517621810,Discover
Jennifer Garcia,905,11/25,6825406641064737,American Express
John Garcia,699,10/24,6876027981374052,American Express
Jennifer Brown,280,08/28,4913923653149352,Discover
